Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos
1038,Justin\'a0Smoak#\\smoakju01,27,SEA,AL,80,276,248,28,50,13,0,7,30,0,1,24,66,.202,.275,.339,.614,77,84,8,2,0,2,0,3\
1039,Jake\'a0Smolinski\\smolija01,25,TEX,AL,24,92,86,12,30,5,0,3,12,0,0,3,24,.349,.391,.512,.903,150,44,1,3,0,0,0,7/9D\
1040,Drew\'a0Smyly*\\smylydr01,25,TOT,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
1041,Travis\'a0Snider*\\snidetr01,26,PIT,NL,140,359,322,37,85,15,1,13,38,1,1,34,67,.264,.338,.438,.776,117,141,10,2,1,0,2,97/D1\
1042,Brad\'a0Snyder*\\snydebr02,32,TEX,AL,10,34,30,3,5,1,0,2,3,0,0,4,10,.167,.265,.400,.665,83,12,1,0,0,0,0,3\
1043,Eric\'a0Sogard*\\sogarer01,28,OAK,AL,117,329,291,38,65,10,0,1,22,11,4,31,37,.223,.298,.268,.567,64,78,6,1,4,2,0,46/D\
1044,Donovan\'a0Solano\\solando01,26,MIA,NL,111,340,310,26,78,11,1,3,28,1,2,19,61,.252,.300,.323,.623,75,100,5,3,7,1,0,4/65\
1045,Yangervis\'a0Solarte#\\solarya01,26,TOT,MLB,131,535,469,56,122,19,1,10,48,0,1,53,58,.260,.336,.369,.705,103,173,13,4,3,6,1,*54/67\
1046,Jorge\'a0Soler\\solerjo01,22,CHC,NL,24,97,89,11,26,8,1,5,20,1,0,6,24,.292,.330,.573,.903,146,51,3,0,0,2,0,9\
1047,Ali\'a0Solis\\solisal01,26,TBR,AL,8,7,6,0,0,0,0,0,1,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,1,0,0,/2\
1048,Joakim\'a0Soria\\soriajo01,30,TOT,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1049,Alfonso\'a0Soriano\\soriaal01,38,NYY,AL,67,238,226,22,50,15,0,6,23,1,0,6,71,.221,.244,.367,.611,71,83,3,2,0,4,1,9D7\
1050,Rafael\'a0Soriano\\soriara01,34,WSN,NL,60,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1051,Geovany\'a0Soto\\sotoge01,31,TOT,AL,24,87,80,8,20,6,0,1,11,0,0,6,19,.250,.302,.363,.665,88,29,6,0,1,0,0,2\
1052,Neftali\'a0Soto\\sotone01,25,CIN,NL,21,31,30,1,3,1,0,0,1,1,0,0,8,.100,.097,.133,.230,-36,4,2,0,0,1,0,/35D\
1053,Steven\'a0Souza\\souzast01,25,WSN,NL,21,26,23,2,3,0,0,2,2,0,0,3,7,.130,.231,.391,.622,68,9,1,0,0,0,0,/978\
1054,Denard\'a0Span*\\spande01,30,WSN,NL,147,668,610,94,184,39,8,5,37,31,7,50,65,.302,.355,.416,.771,113,254,6,2,3,3,1,*8\
1055,Cory\'a0Spangenberg*\\spangco01,23,SDP,NL,20,65,62,7,18,2,1,2,9,4,2,2,14,.290,.313,.452,.764,119,28,1,0,1,0,0,/574\
1056,George\'a0Springer\\springe01,24,HOU,AL,78,345,295,45,68,8,1,20,51,5,2,39,114,.231,.336,.468,.804,126,138,4,9,0,2,4,9/8D\
1057,Zeke\'a0Spruill#\\spruize01,24,ARI,NL,5,5,5,0,1,1,0,0,0,0,0,0,1,.200,.200,.400,.600,62,2,0,0,0,0,0,/1\
1058,Craig\'a0Stammen\\stammcr01,30,WSN,NL,46,8,7,0,2,1,0,0,0,0,0,0,4,.286,.286,.429,.714,94,3,0,0,1,0,0,1\
1059,Giancarlo\'a0Stanton\\stantmi03,24,MIA,NL,145,638,539,89,155,31,1,37,105,13,1,94,170,.288,.395,.555,.950,164,299,16,3,0,2,24,*9/D\
