Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos
469,Jamey\'a0Wright\\wrighja01,36,SEA,60,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$900000,Free Agency,1\
470,Eric\'a0O'Flaherty*\\oflaher01,26,ATL,78,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$895000,Waivers,1\
471,Matt\'a0Albers*\\alberma01,28,BOS,56,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$875000,Free Agency,1\
472,Sean\'a0Green\\greense01,32,MIL,14,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$875000,Free Agency,1\
473,Joe\'a0Smith\\smithjo05,27,CLE,71,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.1,0,$870000,Traded,1\
474,Alexi\'a0Casilla#\\casilal01,26,MIN,97,365,-5,3,2,-2,3,1,0.2,14,15,1.5,.501,.501,1.7,0.1,17,$865000,Traded,46/D\
475,Jorge\'a0Cantu\\cantujo01,29,SDP,57,155,-11,-1,-1,2,-1,-12,-1.3,5,-7,-0.9,.477,.492,-1.1,0.1,-9,$850000,Free Agency,35/4\
476,Juan\'a0Cruz\\cruzju02,32,TBR,56,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$850000,Free Agency,1\
477,Koyie\'a0Hill#\\hillko01,32,CHC,46,153,-10,-1,0,0,3,-9,-1.0,5,-4,-0.5,.479,.494,-0.6,0.3,-4,$850000,Free Agency,2\
478,Matt\'a0Stairs*\\stairma01,43,WSN,56,74,-6,0,0,-1,0,-7,-0.8,2,-5,-0.6,.485,.495,-0.5,-0.2,-4,$850000,Free Agency,/D3\
479,Matt\'a0Treanor\\treanma01,35,2TM,72,242,-3,-4,0,-2,4,-5,-0.5,9,4,0.4,.492,.498,0.6,0.2,6,$850000,Purchased,2\
