k,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary▼,Acquired
130,Arthur Rhodes*\rhodear01,34,OAK,38.2,37,0,23,5.35,5.00,-0.12,-0.37,97.4,4.63,-4,-0.3,1.53,-0.2,-0.1,1,.491,.498,$1800000,Free Agency
131,Danys Baez\baezda01,26,TBD,68.0,62,0,31,4.10,5.13,-0.01,-0.38,96.9,4.61,3,0.3,1.30,-0.1,0.9,12,.505,.502,$1750000,Free Agency
132,Darrell May*\mayda02,32,KCR,186.0,31,31,130,6.29,5.17,-0.10,0.20,102.0,5.58,-17,-1.6,,-0.1,0.2,7,.449,.490,$1750000,Free Agency
133,Ricardo Rincon*\rincori01,34,OAK,44.0,67,0,22,4.50,5.30,-0.11,-0.39,99.3,4.98,2,0.2,1.67,0.0,0.6,7,.503,.501,$1750000,Free Agency
134,Jay Witasick\witasja01,31,SDP,61.2,44,0,28,4.09,4.60,-0.05,-0.34,91.0,3.93,-2,-0.1,.66,-0.1,0.3,4,.497,.499,$1750000,Free Agency
135,Scott Schoeneweis*\schoesc01,30,CHW,112.2,20,19,74,5.91,5.19,0.11,0.19,101.0,5.33,-9,-0.8,.03,-0.1,0.3,6,.459,.495,$1725000,Traded
136,Terry Adams\adamste01,31,2TM,70.0,61,0,39,5.01,5.12,0.14,-0.38,104.8,4.82,-2,-0.2,1.14,0.0,0.5,7,.496,.500,$1700000,Traded
137,Geremi Gonzalez\gonzaje01,29,TBD,50.1,11,8,42,7.51,5.34,-0.01,0.10,98.6,5.38,-13,-1.1,.42,0.0,-0.6,-6,.399,.493,$1700000,Free Agency
138,Steve Kline*\klinest02,31,STL,50.1,67,0,12,2.15,4.60,0.18,-0.34,100.6,4.11,11,1.1,1.32,0.1,1.6,15,.516,.507,$1700000,Free Agency
139,Johan Santana*\santajo02,25,MIN,228.0,34,34,70,2.76,4.90,0.00,0.19,103.0,5.25,60,6.4,,-0.1,8.6,89,.688,.539,$1600000,Traded
140,Justin Speier\speieju01,30,TOR,69.0,62,0,32,4.17,5.20,0.27,-0.39,103.7,4.71,3,0.3,1.34,-0.1,0.9,12,.505,.502,$1600000,Traded
141,Julian Tavarez\tavarju01,31,STL,64.1,77,0,21,2.94,4.66,0.19,-0.34,99.1,4.10,8,0.8,1.26,0.0,1.3,14,.510,.505,$1600000,Free Agency
142,Josh Beckett\beckejo02,24,FLA,156.2,26,26,72,4.14,4.65,0.07,0.18,96.0,4.57,7,0.7,,-0.1,1.9,21,.526,.504,$1509375,Amateur Draft
143,Wilson Alvarez*\alvarwi01,34,LAD,120.2,40,15,56,4.18,4.79,0.33,-0.01,96.4,4.30,1,0.1,.70,-0.1,1.0,12,.502,.500,$1500000,Free Agency
144,Mike DeJean\dejeami01,33,2TM,61.0,54,0,34,5.02,5.01,-0.19,-0.37,99.9,4.83,-2,-0.1,.92,-0.2,0.3,5,.498,.498,$1500000,Free Agency
145,Danny Kolb\kolbda01,29,MIL,57.1,64,0,22,3.45,4.72,-0.13,-0.35,102.1,4.59,7,0.7,1.79,0.2,1.4,12,.511,.504,$1500000,Free Agency
